Title,Year,Rating,Plot,Genre
The Ministry of Ungentlemanly Warfare,2024,6.8,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,war
Vikings,2013-2020,8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.",war
White Bird,2023,7.3,"Struggling to fit in at his new school after being expelled for his treatment of Auggie Pullman, Julian is visited by his grandmother and is transformed by the story of her attempts to escape Nazi-occupied France during World War II.",war
Band of Brothers,2001,9.4,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",war
Taking Chance,2009,7.4,"Based on real-life events, Lt. Col. Michael Strobl, a volunteer military escort officer, accompanies the body of 19-year-old Marine Chance Phelps back to his hometown of Dubois, Wyoming.",war
Uprising,2024,6.7,"In the Joseon Dynasty, two friends who grew up together, one the master and one the servant, reunite post-war as enemies on opposing sides.",war
Blitz,2024,7,Follow the stories of a group of Londoners during the events of the British capital bombing in World War II.,war
The Last of the Mohicans,1992,7.6,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,war
Inglourious Basterds,2009,8.4,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",war
Vikings: Valhalla,2022-2024,7.3,"Follow-up series to 'Vikings' set 100 years later and focusing on the adventures of Leif Erikson, Freydis, Harald Hardrada, and the Norman King William the Conqueror.",war
Saving Private Ryan,1998,8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",war
M*A*S*H,1972-1983,8.5,The staff of an Army hospital in the Korean War find that laughter is the best way to deal with their situation.,war
Apocalypse Now,1979,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,war
Napoleon,2023,6.4,"An epic that details the chequered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",war
Masters of the Air,2024,7.8,"During World War II, five miles above the ground and behind enemy lines, ten men inside an aluminum bomber known as a ""Flying Fortress"" battle antiaircraft fire and unrelenting flocks of German fighters.",war
The Zone of Interest,2023,7.4,Auschwitz commandant Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden beside the camp.,war
Malena,2000,7.4,"Amidst the war climate, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town.",war
Rome,2005-2007,8.7,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,war
The Hunger Games: The Ballad of Songbirds & Snakes,2023,6.7,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.,war
Kingdom of Heaven,2005,7.3,"Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people.",war
Come and See,1985,8.4,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",war
The Penguin,2024,8.8,"Following the events of The Batman (2022), Oz Cobb, a.k.a. the Penguin, makes a play to seize the reins of the crime world in Gotham.",fantasy
The Lord of the Rings: The Rings of Power,2022-,6.9,"Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth.",fantasy
Beetlejuice Beetlejuice,2024,6.9,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",fantasy
Agatha All Along,2024,6.9,"A spell-bound Agatha Harkness regains freedom thanks to a teen's help. Intrigued by his plea, she embarks on the Witches' Road trials to reclaim her powers and discover the teen's motivations.",fantasy
Megalopolis,2024,5,"The city of New Rome faces the duel between Cesar Catilina, a brilliant artist in favor of an Utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, with her loyalty divided between her father and her beloved.",fantasy
Game of Thrones,2011-2019,9.2,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",fantasy
Beetlejuice,1988,7.5,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.",fantasy
Lost,2004-2010,8.3,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,fantasy
Inside Out 2,2024,7.6,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",fantasy
The Legend of Vox Machina,2022-,8.4,"After saving the realm from evil and destruction at the hands of the most terrifying power couple in Exandria, Vox Machina is faced with saving the world once again-this time, from a sinister group of dragons known as the Chroma Conclave.",fantasy
Kaos,2024,7.5,A modern-day contemporary retelling of Greek mythology.,fantasy
Transformers One,2024,7.8,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever.",fantasy
Dandadan,2024-,8.6,"A story of young love and occult battles begins. When Momo and Okarun's beliefs clash, they're thrown into a world of ghosts, aliens, and awakened powers.",fantasy
Supernatural,2005-2020,8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.",fantasy
Bleach: Thousand-Year Blood War,2022-,9,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.",fantasy
Stranger Things,2016-2025,8.7,"In 1980s Indiana, a group of young friends witness supernatural forces and secret government exploits. As they search for answers, the children unravel a series of extraordinary mysteries.",fantasy
One Piece,1999-,9,"Monkey D. Luffy sets off on an adventure with his pirate crew in hopes of finding the greatest treasure ever, known as the ""One Piece.""",fantasy
House of the Dragon,2022-,8.4,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.",fantasy
Nosferatu,2024,N/A,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",fantasy
